"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0005078,7,nm0534221,writer,scenario
tt0005078,8,nm0004592,composer,
tt0005078,9,nm0005931,cinematographer,
tt0005960,1,nm0271503,actor,
tt0005960,2,nm0632160,actress,
tt0005960,3,nm0790704,actor,
tt0005960,4,nm0361882,actor,
tt0005960,5,nm0909825,director,
tt0005960,6,nm0452976,writer,"book ""My Mamie Rose"""
tt0005960,7,nm0352506,writer,"play ""The Regeneration"""
tt0005960,8,nm0072301,cinematographer,
tt0006206,10,nm0621051,actress,
tt0006206,1,nm0615736,actress,
tt0006206,2,nm0559013,actor,
tt0006206,3,nm0529695,actor,
tt0006206,4,nm0043923,actor,
tt0006206,5,nm0275421,director,
tt0006206,6,nm0004592,composer,
tt0006206,7,nm1666136,cinematographer,
tt0006206,8,nm2359236,cinematographer,
tt0006206,9,nm0380742,actor,
tt0006333,1,nm0392709,actor,
tt0006333,2,nm0360132,actor,
tt0006333,3,nm0671728,actress,
tt0006333,4,nm0072911,actor,
tt0006333,5,nm0665737,director,
tt0006333,6,nm0894523,writer,"based on: ""Twenty Thousand Leagues Under the Sea"" by"
tt0006333,7,nm0003668,composer,
tt0006333,8,nm2028512,composer,
tt0006333,9,nm0309968,cinematographer,
tt0006864,10,nm1578667,writer,"poem ""Out of the Cradle Endlessly Rocking"""
tt0006864,1,nm0001273,actress,
tt0006864,2,nm0366008,actor,
tt0006864,3,nm0550615,actress,
tt0006864,4,nm0877548,actor,
tt0006864,5,nm0000428,director,
tt0006864,6,nm0048512,writer,titles
tt0006864,7,nm0115218,writer,
tt0006864,8,nm0002616,writer,titles
tt0006864,9,nm0640437,writer,titles
tt0008443,10,nm0111105,cinematographer,
tt0008443,1,nm0681933,actress,
tt0008443,2,nm0871337,actress,
tt0008443,3,nm0919966,actor,
tt0008443,4,nm0265469,actress,
tt0008443,5,nm0869665,director,
tt0008443,6,nm0309557,writer,"play ""Poor Little Rich Girl"""
tt0008443,7,nm0547966,writer,scenario
tt0008443,8,nm0958532,producer,producer
tt0008443,9,nm0005635,cinematographer,
tt0008663,1,nm0803705,actor,
tt0008663,2,nm0265890,actor,
tt0008663,3,nm0258611,actress,
tt0008663,4,nm0403851,actress,
tt0008663,5,nm0406585,writer,by
tt0008663,6,nm0596410,writer,
tt0008663,7,nm0536368,producer,producer
tt0008663,8,nm0005748,cinematographer,
tt0008879,1,nm0803705,actor,
tt0008879,2,nm0258611,actress,
tt0008879,3,nm0252476,actor,
tt0008879,4,nm0014363,actor,
tt0008879,5,nm0039377,writer,writer
tt0008879,6,nm2642082,writer,"play ""Eyvind of the Hills"""
tt0008879,7,nm0536368,producer,producer
tt0008879,8,nm0005748,cinematographer,
tt0008879,9,nm0260081,production_designer,
tt0009369,10,nm0413164,cinematographer,
tt0009369,1,nm0635667,actress,
tt0009369,2,nm0629589,actor,
tt0009369,3,nm0479126,actress,
tt0009369,4,nm0168595,actor,
tt0009369,5,nm0428059,director,
tt0009369,6,nm0949648,director,
tt0009369,7,nm0215874,writer,story
tt0009369,8,nm0370271,writer,writer
tt0009369,9,nm0784407,producer,producer
tt0009652,10,nm0189684,actress,
tt0009652,1,nm0681933,actress,
tt0009652,2,nm0914003,actress,
tt0009652,3,nm0822059,actor,
tt0009652,4,nm0853604,actor,
tt0009652,5,nm0624714,director,
tt0009652,6,nm0516810,writer,from the novel by
tt0009652,7,nm0547966,writer,photoplay
tt0009652,8,nm0833115,cinematographer,
tt0009652,9,nm0543583,actress,
tt0009878,10,nm1911898,editor,
tt0009878,1,nm0891998,actor,
tt0009878,2,nm0174925,actor,
tt0009878,3,nm0903095,actress,
tt0009878,4,nm0929700,actress,
tt0009878,5,nm0652650,director,
tt0009878,6,nm0386589,writer,writer
tt0009878,7,nm2078034,composer,
tt0009878,8,nm0776169,composer,
tt0009878,9,nm0268732,cinematographer,
tt0009892,10,nm0078806,actress,
tt0009892,1,nm0546295,actress,
tt0009892,2,nm0191899,actor,
tt0009892,3,nm0632160,actress,
tt0009892,4,nm0605118,actor,
tt0009892,5,nm0002177,director,
tt0009892,6,nm0309568,writer,"book ""Ravished Armenia"""
tt0009892,7,nm0152165,writer,
tt0009892,8,nm0783152,producer,producer
tt0009892,9,nm0922203,actress,
tt0009893,10,nm0322843,production_designer,
tt0009893,1,nm0418131,actor,
tt0009893,2,nm0652661,actress,
tt0009893,3,nm0509573,actor,
tt0009893,4,nm0266254,actor,
tt0009893,5,nm0523932,director,
tt0009893,6,nm0473134,writer,writer
tt0009893,7,nm0204029,composer,
tt0009893,8,nm0894382,composer,
tt0009893,9,nm0005882,cinematographer,
tt0009937,10,nm0492760,editor,
tt0009937,1,nm0208659,actor,
tt0009937,2,nm0082537,actress,
tt0009937,3,nm0002233,actor,
tt0009937,4,nm0332998,actor,
tt0009937,5,nm0239769,writer,titles by
tt0009937,6,nm2150914,composer,
tt0009937,7,nm13270177,composer,
tt0009937,8,nm0005843,cinematographer,
tt0009937,9,nm0294946,editor,
tt0009968,10,nm0782999,actor,
tt0009968,1,nm0001273,actress,
tt0009968,2,nm0001932,actor,
tt0009968,3,nm0187981,actor,
tt0009968,4,nm0397126,actor,
tt0009968,5,nm0000428,director,
tt0009968,6,nm0121885,writer,adapted from 'The Chink and the Child' by
tt0009968,7,nm0005658,cinematographer,
tt0009968,8,nm0081361,actor,
tt0009968,9,nm0073239,actor,
tt0010040,10,nm0486041,actress,
tt0010040,1,nm0681933,actress,
tt0010040,2,nm0202633,actress,
tt0010040,3,nm0368665,actress,
tt0010040,4,nm0501619,actress,
tt0010040,5,nm0624714,director,
tt0010040,6,nm0916914,writer,story
tt0010040,7,nm0426515,writer,adapted by
tt0010040,8,nm0003546,cinematographer,
tt0010040,9,nm0358029,actor,
tt0010071,10,nm0269671,actress,
tt0010071,1,nm0223296,actor,
tt0010071,2,nm0841797,actress,
tt0010071,3,nm0168595,actor,
tt0010071,4,nm0039276,actress,
tt0010071,5,nm0001124,director,
tt0010071,6,nm0534221,writer,story
tt0010071,7,nm0005931,cinematographer,
tt0010071,8,nm0061640,editor,
tt0010071,9,nm0731623,actor,
tt0010247,10,nm0090819,cinematographer,
tt0010247,1,nm0830862,actor,
tt0010247,2,nm0074129,actor,
tt0010247,3,nm0526234,actor,
tt0010247,4,nm0632163,actor,
tt0010247,5,nm0830249,director,
tt0010247,6,nm0481248,writer,novel
tt0010247,7,nm0596410,writer,writer
tt0010247,8,nm0536368,producer,producer
tt0010247,9,nm2443910,composer,
tt0010281,1,nm0652661,actress,
tt0010281,2,nm0324506,actor,
tt0010281,3,nm0797728,actor,
tt0010281,4,nm0475470,actress,
tt0010281,5,nm0523932,director,
tt0010281,6,nm0473134,writer,writer
tt0010281,7,nm0203452,producer,producer
tt0010281,8,nm0418131,actor,
tt0010307,10,nm0286979,cinematographer,
tt0010307,1,nm0431069,actor,
tt0010307,2,nm0221298,actor,
tt0010307,3,nm0786313,actor,
tt0010307,4,nm0349940,actress,
tt0010307,5,nm0304098,director,
tt0010307,6,nm0665572,producer,producer
tt0010307,7,nm0004592,composer,
tt0010307,8,nm0119704,cinematographer,
tt0010307,9,nm0005662,cinematographer,
tt0010323,10,nm0110640,composer,
tt0010323,1,nm0470328,actor,
tt0010323,2,nm0891998,actor,
tt0010323,3,nm0270415,actor,
tt0010323,4,nm0196820,actress,
tt0010323,5,nm0927468,director,
tt0010323,6,nm0562346,writer,written by
tt0010323,7,nm0417917,writer,written by
tt0010323,8,nm0031350,composer,
tt0010323,9,nm0005959,composer,
tt0010418,1,nm0576762,actor,
tt0010418,2,nm0731623,actor,
tt0010418,3,nm0369058,actor,
tt0010418,4,nm0128954,actor,
tt0010418,5,nm0001124,director,
tt0010418,6,nm0534221,writer,written by
tt0010418,7,nm0057381,writer,"by: ""The Admirable Crichton"""
tt0010418,8,nm1257678,composer,
tt0010418,9,nm0005931,cinematographer,
tt0010600,10,nm0005882,cinematographer,
tt0010600,1,nm0652661,actress,
tt0010600,2,nm0858164,actor,
tt0010600,3,nm0418131,actor,
tt0010600,4,nm0472174,actor,
tt0010600,5,nm0523932,director,
tt0010600,6,nm0006782,writer,story
tt0010600,7,nm0473134,writer,
