"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0057286,2,nm0709951,actor,
tt0057286,3,nm0016646,actor,
tt0057286,4,nm0134074,actor,
tt0057286,5,nm0742940,director,
tt0057286,6,nm0478431,writer,idea
tt0057286,7,nm0699039,writer,screenplay
tt0057286,8,nm0285451,writer,screenplay
tt0057286,9,nm0763523,producer,producer
tt0057295,10,nm0464596,writer,
tt0057295,1,nm0473530,actor,
tt0057295,2,nm0594682,actress,
tt0057295,3,nm0463590,actor,
tt0057295,4,nm0756292,actor,
tt0057295,5,nm0393094,director,
tt0057295,6,nm0454119,writer,screenplay
tt0057295,7,nm0395948,writer,adaptation
tt0057295,8,nm0298040,writer,adaptation
tt0057295,9,nm0388300,writer,"story ""The Voice in the Night"""
tt0057298,10,nm0506968,editor,
tt0057298,1,nm0000078,actor,
tt0057298,2,nm0000058,actress,
tt0057298,3,nm0915618,actor,
tt0057298,4,nm0694619,actress,
tt0057298,5,nm0572132,director,
tt0057298,6,nm0335455,writer,original screenplay
tt0057298,7,nm0915609,producer,producer
tt0057298,8,nm0006030,composer,
tt0057298,9,nm0005670,cinematographer,director of photography
tt0057318,10,nm0006221,composer,
tt0057318,1,nm0796222,actor,
tt0057318,2,nm0106387,self,
tt0057318,3,nm6770940,self,
tt0057318,4,nm0803732,actor,
tt0057318,5,nm0146974,director,
tt0057318,6,nm0415059,director,
tt0057318,7,nm10304264,director,
tt0057318,8,nm0729939,producer,producer
tt0057318,9,nm0647246,composer,
tt0057323,10,nm0531431,writer,story
tt0057323,1,nm0865575,actor,
tt0057323,2,nm0002094,actor,
tt0057323,3,nm0125627,actor,
tt0057323,4,nm0166706,actor,
tt0057323,5,nm0728271,director,
tt0057323,6,nm0408488,writer,story
tt0057323,7,nm0769249,writer,story
tt0057323,8,nm0677880,writer,story
tt0057323,9,nm0778633,writer,story
tt0057328,10,nm0178447,cinematographer,director of photography
tt0057328,1,nm0751983,actress,
tt0057328,2,nm0600531,actor,
tt0057328,3,nm0187754,actor,
tt0057328,4,nm0467311,actor,
tt0057328,5,nm0504513,director,
tt0057328,6,nm0926728,writer,novel
tt0057328,7,nm0675728,writer,screenplay
tt0057328,8,nm0791577,producer,producer
tt0057328,9,nm0006112,composer,
tt0057329,10,nm0564970,writer,story
tt0057329,1,nm0000013,actress,
tt0057329,2,nm0001258,actor,
tt0057329,3,nm0000917,actress,
tt0057329,4,nm0728812,actress,
tt0057329,5,nm0330456,director,
tt0057329,6,nm0437900,writer,screenplay
tt0057329,7,nm0792042,writer,screenplay
tt0057329,8,nm0818415,writer,based on a screenplay by
tt0057329,9,nm0818416,writer,based on a screenplay by
tt0057334,10,nm0406471,cinematographer,director of photography
tt0057334,1,nm0751983,actress,
tt0057334,2,nm0205518,actor,
tt0057334,3,nm0605923,actor,
tt0057334,4,nm0733460,actress,
tt0057334,5,nm0689659,director,
tt0057334,6,nm0146896,writer,screenplay
tt0057334,7,nm0002005,writer,"novel ""After the Funeral"""
tt0057334,8,nm0113627,producer,producer
tt0057334,9,nm0006109,composer,
tt0057336,10,nm0671313,editor,
tt0057336,1,nm0786891,actress,
tt0057336,2,nm0477742,actor,
tt0057336,3,nm0458917,actress,
tt0057336,4,nm0858054,actor,
tt0057336,5,nm0720297,director,
tt0057336,6,nm0147321,writer,scenario and dialogue
tt0057336,7,nm0202367,producer,producer
tt0057336,8,nm0378314,composer,
tt0057336,9,nm0005916,cinematographer,
tt0057344,10,nm0432854,producer,producer
tt0057344,1,nm0300064,actor,
tt0057344,2,nm0001128,actor,
tt0057344,3,nm0148858,actor,
tt0057344,4,nm0738780,actress,
tt0057344,5,nm0894577,director,
tt0057344,6,nm0002192,writer,dialogue
tt0057344,7,nm0548579,writer,"novel ""The Big Grab"""
tt0057344,8,nm0800631,writer,adaptation
tt0057344,9,nm0052713,producer,producer
tt0057345,10,nm0006227,composer,
tt0057345,1,nm0000003,actress,
tt0057345,2,nm0001588,actor,
tt0057345,3,nm0681566,actor,
tt0057345,4,nm0596968,actress,
tt0057345,5,nm0000419,director,
tt0057345,6,nm0603179,writer,"novel ""Il Disprezzo"""
tt0057345,7,nm0064676,producer,producer
tt0057345,8,nm0690638,producer,producer
tt0057345,9,nm0000016,composer,
tt0057357,10,nm0196771,producer,producer
tt0057357,1,nm0563268,actor,
tt0057357,2,nm0957668,actor,
tt0057357,3,nm0527398,actress,
tt0057357,4,nm0008131,actor,
tt0057357,5,nm0149631,director,
tt0057357,6,nm1548504,writer,screenplay
tt0057357,7,nm0252757,writer,story
tt0057357,8,nm0536914,writer,novel
tt0057357,9,nm0958573,writer,
tt0057358,1,nm0862026,actress,
tt0057358,2,nm0085038,actor,
tt0057358,3,nm0511458,actress,
tt0057358,4,nm0001884,actor,
tt0057358,5,nm0000005,director,
tt0057358,6,nm0252321,producer,producer
tt0057358,7,nm0005815,cinematographer,
tt0057358,8,nm0753276,editor,
tt0057358,9,nm0526456,production_designer,
tt0057360,1,nm0000056,actor,
tt0057360,2,nm0940946,actress,
tt0057360,3,nm0728812,actress,
tt0057360,4,nm0001247,actress,
tt0057360,5,nm0789520,director,
tt0057360,6,nm0307702,composer,
tt0057360,7,nm0006302,composer,
tt0057360,8,nm0005701,cinematographer,director of photography
tt0057360,9,nm0102758,editor,
tt0057363,10,nm1024488,cinematographer,
tt0057363,1,nm0442951,actor,
tt0057363,2,nm0457557,actor,
tt0057363,3,nm0457498,actress,
tt0057363,4,nm0457211,actress,
tt0057363,5,nm0408076,director,
tt0057363,6,nm0367913,writer,screenplay by
tt0057363,7,nm0866930,producer,producer
tt0057363,8,nm0652985,producer,producer
tt0057363,9,nm0006191,composer,
tt0057372,1,nm0001471,actor,
tt0057372,2,nm0001771,actress,
tt0057372,3,nm0601111,actor,
tt0057372,4,nm0293466,actress,
tt0057372,5,nm0725075,writer,written by
tt0057372,6,nm0323246,producer,producer
tt0057372,7,nm0770127,composer,
tt0057372,8,nm0446009,cinematographer,director of photography
tt0057372,9,nm0940215,editor,
tt0057379,10,nm0732400,production_designer,
tt0057379,1,nm0692976,actor,
tt0057379,2,nm0605923,actor,
tt0057379,3,nm0779285,actress,
tt0057379,4,nm0340205,actress,
tt0057379,5,nm0145336,director,
tt0057379,6,nm0226889,writer,screenplay
tt0057379,7,nm0697362,writer,"based on ""The Old Dark House"" by"
tt0057379,8,nm0006082,composer,
tt0057379,9,nm0335264,cinematographer,director of photography
tt0057380,10,nm0006221,composer,
tt0057380,1,nm0000851,actor,
tt0057380,2,nm0108523,actor,
tt0057380,3,nm0492002,actress,
tt0057380,4,nm0534972,actor,
tt0057380,5,nm0293707,director,
tt0057380,6,nm0562015,writer,by
tt0057380,7,nm0283780,writer,screenplay
tt0057380,8,nm0826452,writer,screenplay
tt0057380,9,nm0105899,producer,producer
tt0057393,10,nm0289381,producer,producer
tt0057393,1,nm0731772,actor,
tt0057393,2,nm0191685,actor,
tt0057393,3,nm0362249,actor,
tt0057393,4,nm0339834,actor,
tt0057393,5,nm0554169,director,
tt0057393,6,nm0106764,writer,screenplay by
tt0057393,7,nm0790591,writer,adaptation by
tt0057393,8,nm0280909,writer,adaptation by
tt0057393,9,nm0233055,writer,from the book by
tt0057401,10,nm0335264,cinematographer,director of photography
tt0057401,1,nm0779285,actress,
tt0057401,2,nm0001657,actor,
tt0057401,3,nm0123090,actress,
tt0057401,4,nm0219062,actor,
tt0057401,5,nm0005711,director,
tt0057401,6,nm0762727,writer,screenplay
tt0057401,7,nm0856758,writer,"novel ""Brat Farrar"""
tt0057401,8,nm0385573,producer,producer
tt0057401,9,nm0527534,composer,
tt0057413,10,nm0935988,editor,
tt0057413,1,nm0000057,actor,
tt0057413,2,nm0000634,actor,
tt0057413,3,nm0001822,actor,
tt0057413,4,nm0001010,actress,
tt0057413,5,nm0001175,director,
tt0057413,6,nm0725009,writer,screenplay
tt0057413,7,nm0433021,producer,producer
tt0057413,8,nm0000049,composer,
tt0057413,9,nm0005769,cinematographer,director of photography
tt0057422,10,nm0310350,editor,
tt0057422,1,nm0000086,actor,
tt0057422,2,nm0014800,actress,
tt0057422,3,nm0241484,actor,
tt0057422,4,nm0537571,actress,
tt0057422,5,nm0320833,director,
tt0057422,6,nm0897505,writer,play 'Sans cérémonie'
tt0057422,7,nm0213380,producer,producer
tt0057422,8,nm0214456,composer,
tt0057422,9,nm0287610,cinematographer,
tt0057426,10,nm0200125,cinematographer,director of photography
tt0057426,1,nm0000056,actor,
tt0057426,2,nm0000064,actor,
tt0057426,3,nm0813961,actress,
tt0057426,4,nm0000832,actress,
tt0057426,5,nm0733476,director,
tt0057426,6,nm0499626,writer,screenplay
tt0057426,7,nm0908683,writer,novel
tt0057426,8,nm0075825,producer,producer
tt0057426,9,nm0000025,composer,
tt0057427,10,nm0496645,composer,
tt0057427,1,nm0000578,actor,
tt0057427,2,nm0289450,actor,
tt0057427,3,nm0353916,actor,
tt0057427,4,nm0443985,actor,
tt0057427,5,nm0000080,director,
tt0057427,6,nm0158971,writer,adaptation and dialogue
tt0057427,7,nm0434525,writer,based on the novel by
tt0057427,8,nm0758499,producer,producer
tt0057427,9,nm0758503,producer,producer
tt0057443,10,nm0698779,writer,screenplay collaboration
tt0057443,1,nm0768334,actor,
tt0057443,2,nm0739815,actress,
tt0057443,3,nm0181305,actress,
tt0057443,4,nm1082539,actress,
tt0057443,5,nm0000878,director,
tt0057443,6,nm0208086,writer,story and screenplay
tt0057443,7,nm0179281,writer,story and screenplay
tt0057443,8,nm0211373,writer,story and screenplay
tt0057443,9,nm0346314,writer,screenplay collaboration
tt0057449,10,nm0801721,editor,
tt0057449,1,nm0001637,actor,
tt0057449,2,nm0000048,actor,
tt0057449,3,nm0000472,actor,
tt0057449,4,nm0183764,actress,
tt0057449,5,nm0000339,director,
tt0057449,6,nm0558577,writer,screenplay
tt0057449,7,nm0000590,writer,poem
tt0057449,8,nm0005958,composer,
tt0057449,9,nm0005677,cinematographer,director of photography
tt0057463,10,nm0060850,editor,
tt0057463,1,nm0002131,actor,
tt0057463,2,nm0001665,actress,
tt0057463,3,nm0000869,actor,
tt0057463,4,nm0043875,actor,
tt0057463,5,nm0715346,director,
tt0057463,6,nm0607876,writer,screenplay
tt0057463,7,nm0809949,writer,"novel ""The Ballad of the Running Man"""
tt0057463,8,nm0005944,composer,
tt0057463,9,nm0005761,cinematographer,
tt0057465,10,nm0397393,actress,
tt0057465,1,nm0355246,actor,
tt0057465,2,nm0397017,actress,
tt0057465,3,nm0017494,actor,
tt0057465,4,nm0543330,actress,
tt0057465,5,nm0484824,director,
tt0057465,6,nm0811505,producer,producer
tt0057465,7,nm0005936,cinematographer,director of photography
tt0057465,8,nm0751114,actor,
tt0057465,9,nm0355256,actor,
tt0057473,10,nm0808357,editor,
tt0057473,1,nm0001417,actor,
tt0057473,2,nm0456565,actor,
tt0057473,3,nm0002019,actor,
tt0057473,4,nm0552185,actor,
tt0057473,5,nm0865709,director,
tt0057473,6,nm0320564,writer,novel
tt0057473,7,nm0876564,writer,writer
tt0057473,8,nm0006337,composer,
tt0057473,9,nm0169344,cinematographer,director of photography
tt0057490,10,nm0005878,cinematographer,director of photography
tt0057490,1,nm0001958,actor,
tt0057490,2,nm0587234,actress,
tt0057490,3,nm0186048,actress,
tt0057490,4,nm0289038,actor,
tt0057490,5,nm0521334,director,
tt0057490,6,nm0056217,writer,screenplay
tt0057490,7,nm0560855,writer,novel 'The Servant'
tt0057490,8,nm0295711,producer,producer
tt0057490,9,nm0006023,composer,
tt0057495,1,nm0106539,actor,
tt0057495,2,nm0869927,actress,
tt0057495,3,nm0262775,actor,
tt0057495,4,nm0078940,actor,
tt0057495,5,nm0002087,director,
tt0057495,6,nm0242406,composer,
tt0057495,7,nm0005673,cinematographer,director of photography
tt0057495,8,nm0860870,editor,
tt0057503,10,nm0538648,cinematographer,
tt0057503,1,nm0441526,actor,
tt0057503,2,nm0875207,actress,
tt0057503,3,nm0442951,actor,
tt0057503,4,nm0837350,actor,
tt0057503,5,nm0849080,director,
tt0057503,6,nm0409467,writer,writer
tt0057503,7,nm0793753,writer,story
tt0057503,8,nm0473547,producer,producer
tt0057503,9,nm0006136,composer,
tt0057507,1,nm0143464,actress,
tt0057507,2,nm0866798,actor,
tt0057507,3,nm0136707,actor,
tt0057507,4,nm0461004,actress,
tt0057507,5,nm0290118,director,
tt0057507,6,nm0571849,cinematographer,
tt0057507,7,nm0835101,cinematographer,
tt0057507,8,nm0527139,editor,
tt0057517,10,nm0000049,composer,
tt0057517,1,nm0000537,actor,
tt0057517,2,nm0001276,actor,
tt0057517,3,nm0001839,actress,
tt0057517,4,nm0082300,actor,
tt0057517,5,nm0625680,director,
tt0057517,6,nm0725009,writer,screenplay
tt0057517,7,nm0001175,writer,screenplay
tt0057517,8,nm0001279,writer,novel
tt0057517,9,nm0433021,producer,producer
tt0057518,10,nm0930865,writer,"""Danny Dunn"" books"
tt0057518,1,nm0534045,actor,
tt0057518,2,nm0647970,actress,
tt0057518,3,nm0943978,actor,
tt0057518,4,nm0456565,actor,
tt0057518,5,nm0829038,director,
tt0057518,6,nm0909556,writer,screenplay
tt0057518,7,nm0196119,writer,screenplay
tt0057518,8,nm0853139,writer,story
tt0057518,9,nm0039107,writer,"""Danny Dunn"" books"
tt0057522,10,nm0584984,editor,
tt0057522,1,nm0824489,actress,
tt0057522,2,nm0049975,actor,
tt0057522,3,nm0431006,actor,
tt0057522,4,nm0575616,actress,
tt0057522,5,nm0292720,director,
tt0057522,6,nm0080755,writer,story and screenplay
tt0057522,7,nm0139527,producer,producer
tt0057522,8,nm0006187,composer,
tt0057522,9,nm0556203,cinematographer,director of photography
tt0057523,1,nm0000020,actor,
tt0057523,2,nm0000058,actress,
tt0057523,3,nm0531279,actor,
tt0057523,4,nm0187981,actor,
tt0057523,5,nm0202681,director,
tt0057523,6,nm0358839,writer,based on the novel by
tt0057523,7,nm0000070,composer,
tt0057523,8,nm0493353,cinematographer,director of photography
tt0057523,9,nm0905713,editor,
tt0057530,10,nm0337898,composer,
tt0057530,1,nm0936295,actor,
tt0057530,2,nm0152361,actor,
tt0057530,3,nm0827464,actress,
tt0057530,4,nm0221491,actor,
tt0057530,5,nm0038895,director,
tt0057530,6,nm0203766,writer,screenplay
tt0057530,7,nm0090014,writer,with
tt0057530,8,nm0504087,writer,with
tt0057530,9,nm0829435,producer,producer
tt0057541,10,nm0805172,editor,
tt0057541,1,nm0723771,actor,
tt0057541,2,nm0676555,actress,
tt0057541,3,nm0371156,actor,
tt0057541,4,nm0835939,actress,
tt0057541,5,nm0946811,director,
tt0057541,6,nm0616829,writer,original story and screenplay
tt0057541,7,nm0143922,writer,original story and screenplay
tt0057541,8,nm0363899,producer,producer
tt0057541,9,nm0928227,cinematographer,director of photography
tt0057542,10,nm0821338,editor,
tt0057542,1,nm0001539,actress,
tt0057542,2,nm0570192,actress,
tt0057542,3,nm0412322,actor,
tt0057542,4,nm0909117,actress,
tt0057542,5,nm0624809,director,
tt0057542,6,nm0072639,writer,screenplay
tt0057542,7,nm0927752,writer,book
tt0057542,8,nm0048301,composer,
tt0057542,9,nm0811580,cinematographer,director of photography
tt0057543,10,nm0826114,editor,
tt0057543,1,nm0001792,actor,
tt0057543,2,nm0000404,actress,
tt0057543,3,nm0731772,actor,
tt0057543,4,nm0191685,actor,
tt0057543,5,nm0856715,director,
tt0057543,6,nm0469915,writer,play
tt0057543,7,nm0293388,producer,producer
tt0057543,8,nm0626267,composer,
tt0057543,9,nm0869860,cinematographer,director of photography
tt0057546,10,nm0005980,composer,
tt0057546,1,nm0814862,actor,
tt0057546,2,nm0001982,actor,
tt0057546,3,nm0842425,actor,
tt0057546,4,nm0560076,actor,
tt0057546,5,nm0718627,director,
tt0057546,6,nm0314671,director,
tt0057546,7,nm0359457,director,
tt0057546,8,nm0670328,writer,story
tt0057546,9,nm0925493,writer,based on the book by
tt0057556,10,nm0005644,cinematographer,director of photography
tt0057556,1,nm0000071,actor,
tt0057556,2,nm0000364,actress,
tt0057556,3,nm0575031,actress,
tt0057556,4,nm0605923,actor,
tt0057556,5,nm0467396,director,
tt0057556,6,nm0258290,writer,play
tt0057556,7,nm0258288,writer,play
tt0057556,8,nm0425913,writer,screenplay
tt0057556,9,nm0000025,composer,
tt0057565,10,nm0849083,producer,producer
tt0057565,1,nm0001536,actor,
tt0057565,2,nm0755403,actor,
tt0057565,3,nm0619938,actor,
tt0057565,4,nm0434593,actress,
tt0057565,5,nm0000041,director,
tt0057565,6,nm0644823,writer,screenplay
tt0057565,7,nm0452878,writer,screenplay
tt0057565,8,nm0386750,writer,screenplay
tt0057565,9,nm0402805,writer,"novel ""Kingu no minoshirokin"""
tt0057569,10,nm0415911,director,one day director
tt0057569,1,nm0000472,actor,
tt0057569,2,nm0000197,actor,
tt0057569,3,nm0461070,actress,
tt0057569,4,nm0588241,actor,
tt0057569,5,nm0000339,director,
tt0057569,6,nm0000338,director,three or four days director
tt0057569,7,nm8466308,director,one day director
tt0057569,8,nm0375494,director,few days director
tt0057569,9,nm0384335,director,
tt0057578,10,nm0852999,editor,
tt0057578,1,nm0001321,actor,
tt0057578,2,nm0731499,actress,
tt0057578,3,nm0045996,actor,
tt0057578,4,nm0367156,actor,
tt0057578,5,nm0000755,director,
tt0057578,6,nm0832456,writer,based on the novel by
tt0057578,7,nm0718554,producer,producer
tt0057578,8,nm0314281,composer,
tt0057578,9,nm0177813,cinematographer,
tt0057579,10,nm0831896,editor,
tt0057579,1,nm0001526,actor,
tt0057579,2,nm0358925,actress,
tt0057579,3,nm0619802,actor,
tt0057579,4,nm0026876,actress,
tt0057579,5,nm0149548,director,
tt0057579,6,nm0922589,writer,screenplay
tt0057579,7,nm0302904,writer,"book ""Thomasina"""
tt0057579,8,nm1345229,composer,
tt0057579,9,nm0066607,cinematographer,director of photography
tt0057581,10,nm0006030,composer,
tt0057581,1,nm0000013,actress,
tt0057581,2,nm0001258,actor,
tt0057581,3,nm0290086,actress,
tt0057581,4,nm0028647,actor,
tt0057581,5,nm0422484,director,
tt0057581,6,nm0005348,writer,screenplay
tt0057581,7,nm0312205,writer,story
tt0057581,8,nm0403022,producer,producer
tt0057581,9,nm0577455,producer,producer
tt0057590,10,nm0316626,editor,
tt0057590,1,nm0001215,actor,
tt0057590,2,nm0948772,actress,
tt0057590,3,nm0222627,actor,
tt0057590,4,nm0447499,actress,
tt0057590,5,nm0724798,director,
tt0057590,6,nm0651570,writer,screenplay
tt0057590,7,nm0276145,writer,based on the novel by
tt0057590,8,nm0011709,composer,
tt0057590,9,nm0007178,cinematographer,director of photography
tt0057591,10,nm0006177,composer,
tt0057591,1,nm0893341,actor,
tt0057591,2,nm0088396,actor,
tt0057591,3,nm0087126,actor,
tt0057591,4,nm0723623,actor,
tt0057591,5,nm0491626,director,
tt0057591,6,nm0002192,writer,dialogue
tt0057591,7,nm0800631,writer,novel
tt0057591,8,nm0503533,producer,producer
tt0057591,9,nm0839908,producer,producer
tt0057598,10,nm0005657,cinematographer,
tt0057598,1,nm0001509,actor,
tt0057598,2,nm0656183,actress,
tt0057598,3,nm0590796,actress,
tt0057598,4,nm0384908,actress,
tt0057598,5,nm0001351,director,
tt0057598,6,nm0375484,writer,based upon the stage play
tt0057598,7,nm0688117,writer,screenplay
tt0057598,8,nm0592387,producer,producer
tt0057598,9,nm0006052,composer,
tt0057603,10,nm0079748,writer,screenplay with the collaboration of
tt0057603,1,nm0580440,actress,
tt0057603,2,nm0019145,actress,
tt0057603,3,nm0000472,actor,
tt0057603,4,nm0198941,actor,
tt0057603,5,nm0000878,director,
tt0057603,6,nm0155009,writer,freely adapted from three stories by
tt0057603,7,nm0866239,writer,freely adapted from three stories by
tt0057603,8,nm0560943,writer,freely adapted from three stories by
tt0057603,9,nm0284503,writer,screenplay
tt0057608,1,nm0001637,actor,
tt0057608,2,nm0001982,actor,
tt0057608,3,nm0357020,actor,
tt0057608,4,nm0307500,actress,
tt0057608,5,nm0758508,director,
tt0057608,6,nm0370426,writer,based on the stories by
tt0057608,7,nm0448839,writer,written by
tt0057608,8,nm0006161,composer,
tt0057608,9,nm0141608,cinematographer,director of photography
tt0057611,10,nm0015957,actress,
tt0057611,1,nm0862026,actress,
tt0057611,2,nm0511458,actress,
tt0057611,3,nm0540311,actor,
tt0057611,4,nm0415720,actor,
tt0057611,5,nm0000005,director,
tt0057611,6,nm0005815,cinematographer,
tt0057611,7,nm0753276,editor,
tt0057611,8,nm0526456,production_designer,
tt0057611,9,nm0512502,actor,
tt0057622,10,nm0625224,editor,
tt0057622,1,nm0000493,actor,
tt0057622,2,nm0528595,actress,
tt0057622,3,nm0427894,actor,
tt0057622,4,nm0010944,actress,
tt0057622,5,nm0842582,director,
tt0057622,6,nm0738710,writer,play
tt0057622,7,nm0109900,producer,producer
tt0057622,8,nm0006030,composer,
tt0057622,9,nm0005657,cinematographer,director of photography
tt0057634,10,nm0164758,editor,
tt0057634,1,nm0000072,actress,
tt0057634,2,nm0000009,actor,
tt0057634,3,nm0431139,actor,
tt0057634,4,nm0553349,actress,
tt0057634,5,nm0002190,director,
tt0057634,6,nm0711905,writer,written by
tt0057634,7,nm0344645,producer,producer
tt0057634,8,nm0000067,composer,
tt0057634,9,nm0005742,cinematographer,director of photography
tt0057637,1,nm0404832,actor,
tt0057637,2,nm0067914,actress,
tt0057637,3,nm0851793,actor,
tt0057637,4,nm0451661,actress,
tt0057637,5,nm0745498,director,
tt0057637,6,nm0324690,writer,story
tt0057637,7,nm0277081,composer,
tt0057637,8,nm0839592,cinematographer,
tt0057637,9,nm0088486,editor,
tt0057643,10,nm0763157,editor,
tt0057643,1,nm0542063,actor,
tt0057643,2,nm0671774,actress,
tt0057643,3,nm0410756,actor,
tt0057643,4,nm0007023,actor,
tt0057643,5,nm0305557,director,
tt0057643,6,nm0044156,writer,story
tt0057643,7,nm0280919,writer,screenplay collaboration
tt0057643,8,nm0005950,composer,
tt0057643,9,nm0005686,cinematographer,director of photography
tt0057646,10,nm0006221,composer,
tt0057646,1,nm0687958,actress,
tt0057646,2,nm0729676,actor,
tt0057646,3,nm0000489,actor,
tt0057646,4,nm0637713,actress,
tt0057646,5,nm0546672,director,
tt0057646,6,nm0091559,writer,"novel ""The Virgen of Nurimberg"""
tt0057646,7,nm0002759,writer,screenplay and adaptation
tt0057646,8,nm0344933,writer,screenplay and adaptation
tt0057646,9,nm0895844,producer,producer
tt0057652,10,nm0236909,production_designer,
tt0057652,1,nm0250436,actor,
tt0057652,2,nm0001215,actor,
tt0057652,3,nm0001313,actor,
tt0057652,4,nm0580479,actress,
tt0057652,5,nm0286025,director,
tt0057652,6,nm0056192,writer,"novel ""The Human Kind"""
tt0057652,7,nm0006148,composer,
tt0057652,8,nm0005666,cinematographer,director of photography
tt0057652,9,nm0651544,editor,
tt0057654,10,nm0018058,composer,
tt0057654,1,nm0412880,actor,
tt0057654,2,nm0722901,actress,
tt0057654,3,nm0532135,actor,
tt0057654,4,nm0811663,actor,
tt0057654,5,nm0673051,director,
tt0057654,6,nm0708632,writer,novel
tt0057654,7,nm0057027,producer,producer
tt0057654,8,nm0724909,producer,producer
tt0057654,9,nm0871841,producer,producer
tt0057681,10,nm0485702,cinematographer,director of photography
tt0057681,1,nm0001665,actress,
tt0057681,2,nm0001258,actor,
tt0057681,3,nm0365201,actor,
tt0057681,4,nm0932629,actor,
tt0057681,5,nm0002137,director,
tt0057681,6,nm0329076,writer,novel
tt0057681,7,nm0908923,writer,writer
tt0057681,8,nm0710388,producer,producer
tt0057681,9,nm0006030,composer,
tt0057683,10,nm0940215,editor,
tt0057683,1,nm0001471,actor,
tt0057683,2,nm0001762,actress,
tt0057683,3,nm0001827,actor,
tt0057683,4,nm0569410,actor,
tt0057683,5,nm0850895,director,
tt0057683,6,nm0876223,writer,screenplay
tt0057683,7,nm0428987,producer,producer
tt0057683,8,nm0510360,composer,
tt0057683,9,nm0446009,cinematographer,director of photography
tt0057687,10,nm0005752,cinematographer,
tt0057687,1,nm0000851,actor,
tt0057687,2,nm0108523,actor,
tt0057687,3,nm0894949,actress,
tt0057687,4,nm0000728,actor,
tt0057687,5,nm0718243,director,
tt0057687,6,nm0562015,writer,novel
tt0057687,7,nm0677457,writer,
tt0057687,8,nm0339657,producer,producer
tt0057687,9,nm0005989,composer,
tt0057693,10,nm0137124,editor,
tt0057693,1,nm0001537,actor,
tt0057693,2,nm0886469,actress,
tt0057693,3,nm0831905,actor,
tt0057693,4,nm0398466,actor,
tt0057693,5,nm0000339,director,
tt0057693,6,nm0226889,writer,screenplay
tt0057693,7,nm0751400,writer,screenplay
tt0057693,8,nm0005958,composer,
tt0057693,9,nm0005677,cinematographer,
tt0057694,10,nm0616555,production_designer,
tt0057694,1,nm0586482,actor,
tt0057694,2,nm0518122,actor,
tt0057694,3,nm0689842,actress,
tt0057694,4,nm0824238,actor,
tt0057694,5,nm0199381,director,
tt0057694,6,nm0795312,writer,screenplay
tt0057694,7,nm0678157,composer,
tt0057694,8,nm0951134,cinematographer,
tt0057694,9,nm0529268,editor,
tt0057695,10,nm0435562,cinematographer,
tt0057695,1,nm0649526,actor,
tt0057695,2,nm0847243,actress,
tt0057695,3,nm0229250,actor,
tt0057695,4,nm0864692,actor,
tt0057695,5,nm0002156,director,
tt0057695,6,nm0241510,writer,based upon short stories by
tt0057695,7,nm0797710,producer,producer
tt0057695,8,nm0449296,composer,
tt0057695,9,nm0890943,composer,
tt0057697,10,nm0645787,composer,
tt0057697,1,nm0794425,actor,
tt0057697,2,nm0913843,actress,
tt0057697,3,nm0442709,actor,
tt0057697,4,nm0469027,actress,
tt0057697,5,nm0840671,director,
tt0057697,6,nm0407426,writer,writer
tt0057697,7,nm1250332,writer,writer
tt0057697,8,nm1143207,writer,novel
tt0057697,9,nm0473536,producer,producer
tt0057710,10,nm0619211,producer,producer
tt0057710,1,nm0367928,actor,
tt0057710,2,nm0945414,actress,
tt0057710,3,nm0906723,actress,
tt0057710,4,nm0298576,actor,
tt0057710,5,nm0406728,director,
tt0057710,6,nm0586350,writer,newspaper serial
tt0057710,7,nm0411866,writer,screenplay
tt0057710,8,nm0455938,writer,screenplay
tt0057710,9,nm0905271,writer,scenario
tt0057714,10,nm0393107,cinematographer,
tt0057714,1,nm0441526,actor,
tt0057714,2,nm0297788,actress,
tt0057714,3,nm0793567,actor,
tt0057714,4,nm0297881,actress,
tt0057714,5,nm0946638,director,
tt0057714,6,nm0409467,writer,writer
tt0057714,7,nm0793753,writer,story
tt0057714,8,nm1098004,producer,producer
tt0057714,9,nm0006136,composer,
tt0057715,10,nm0945218,editor,
tt0057715,1,nm0441526,actor,
tt0057715,2,nm0847033,actress,
tt0057715,3,nm0052491,actress,
tt0057715,4,nm0621452,actor,
tt0057715,5,nm0849080,director,
tt0057715,6,nm0395961,writer,writer
tt0057715,7,nm0793753,writer,story
tt0057715,8,nm0006136,composer,
tt0057715,9,nm0538648,cinematographer,
tt0057809,10,nm0006323,composer,
tt0057809,1,nm0001258,actor,
tt0057809,2,nm0001693,actress,
tt0057809,3,nm0001792,actor,
tt0057809,4,nm0676729,actor,
tt0057809,5,nm0780833,director,
tt0057809,6,nm0001094,writer,"based on ""Beware of the Dog"" by"
tt0057809,7,nm0386973,writer,based on a story by
tt0057809,8,nm0888542,writer,based on a story by
tt0057809,9,nm0674169,producer,producer
tt0057811,10,nm0006109,composer,
tt0057811,1,nm0731772,actor,
tt0057811,2,nm0001995,actor,
tt0057811,3,nm0675413,actress,
tt0057811,4,nm0028674,actor,
tt0057811,5,nm0336139,director,
tt0057811,6,nm0165412,writer,screen play by
tt0057811,7,nm0462321,writer,screen play by
tt0057811,8,nm0808250,writer,from the novel by
tt0057811,9,nm0285547,producer,producer
