"('mid',)","('pid',)","('name',)"
tt0009893,nm0509573,Prince Nucki
tt0009893,nm0266254,Josef - a friend of Nucki
tt0009937,nm0208659,"The Husband, Dr. Robert Armstrong"
tt0009937,nm0082537,"The Wife, Margaret Armstrong"
tt0009937,nm0002233,"The Other Man, Lt. Erich von Steuben"
tt0009937,nm0332998,"The Mountain Guide, Sepp Innerkofler"
tt0009968,nm0782999,A Prizefighter
tt0009968,nm0001273,Lucy - The Girl
tt0009968,nm0001932,Cheng Huan - The Yellow Man
tt0009968,nm0187981,Battling Burrows
tt0009968,nm0397126,Battling Burrows' Manager
tt0009968,nm0081361,Evil Eye
tt0009968,nm0073239,The Spying One
tt0010040,nm0486041,Mrs. Pendleton
tt0010040,nm0681933,Judy Abbott
tt0010040,nm0202633,Mrs. Lippett
tt0010040,nm0368665,Miss Pritchard
tt0010040,nm0501619,Angelina
tt0010040,nm0358029,Jarvis Pendleton
tt0010071,nm0269671,Nanette - aka Toodles
tt0010071,nm0223296,James Denby Porter
tt0010071,nm0841797,Leila Porter
tt0010071,nm0168595,Schuyler Van Sutphen
tt0010071,nm0039276,Mrs. Huckney
tt0010071,nm0731623,The Bishop - Rt. Rev. Thomas Thornby
tt0010247,nm0830862,Sir Filip
tt0010247,nm0074129,Sir Donald
tt0010247,nm0526234,Sir Archi
tt0010247,nm0632163,Torarin
tt0010281,nm0652661,Ossi
tt0010281,nm0324506,Dr. Kersten
tt0010281,nm0797728,Counsellor Brockmüller
tt0010281,nm0475470,Gouvernante
tt0010307,nm0431069,Jean Diaz
tt0010307,nm0221298,Maria Lazare
tt0010307,nm0786313,François Laurin
tt0010307,nm0349940,Angele
tt0010323,nm0470328,Dr. Caligari
tt0010323,nm0891998,Cesare
tt0010323,nm0270415,Franzis
tt0010323,nm0196820,Jane Olsen
tt0010418,nm0576762,William Crichton - The Butler
tt0010418,nm0731623,Lord Loam
tt0010418,nm0369058,Honorable Ernest Wolley
tt0010418,nm0128954,Lord Brockelhurst
tt0010600,nm0652661,Ossi - Tochter Hiarius - the Dollmaker's Daughter
tt0010600,nm0858164,Lancelot - Neffe von Baron - the Baron's Nephew
tt0010600,nm0418131,Puppenfabrikant Hilarius - the Dollmaker
tt0010600,nm0472174,Baron von Chauterelle
tt0010726,nm0212234,Kay Hoog
tt0010726,nm0196820,Sonnenpriesterin Naela
tt0010726,nm0649916,Lio Sha
tt0010726,nm0313308,Dr. Telphas
tt0010806,nm0786810,Bettina Hopkins
tt0010806,nm0001273,True Heart Susie
tt0010806,nm0366008,William Jenkins
tt0010806,nm0383278,William's Father
tt0010806,nm0640421,Susie's Aunt
tt0010806,nm0269493,The Stranger
tt0010806,nm0269493,The 'Four-Flusher'
tt0011000,nm0583207,Don Fernandez (second sequence)
tt0011000,nm0632898,Satan
tt0011000,nm0632898,The Grand Inquisitor
tt0011000,nm0632898,Erneste
tt0011000,nm0388713,Jesus (first sequence)
tt0011000,nm0856745,Judas (first sequence)
tt0011000,nm0375250,Don Gomez de Castro (second sequence)
tt0011000,nm0833316,Isabel - Castro's Daughter (second sequence)
tt0011130,nm0000858,Dr. Henry Jekyll
tt0011130,nm0000858,Mr. Edward Hyde
tt0011130,nm0543806,Millicent Carewe
tt0011130,nm0403582,Sir George Carewe
tt0011130,nm0485274,Dr. Lanyon
tt0011221,nm0027992,Genuine
tt0011221,nm0903145,Florian
tt0011221,nm0343069,Lord Melo
tt0011221,nm0667310,Percy Melo
tt0011237,nm0917467,Der Golem
tt0011237,nm0917467,The Golem
tt0011237,nm0826210,Der Rabbi Löw
tt0011237,nm0826210,Rabbi Loew
tt0011237,nm0222074,Der Rabbi Famulus
tt0011237,nm0222074,The Rabbi's Famulus
tt0011237,nm0758802,"Miriam, des Rabbi Tochter"
tt0011237,nm0758802,"Miriam, the Rabbi's Daughter"
tt0011387,nm0000891,Magua
tt0011387,nm0066024,Cora Munro
tt0011387,nm0741182,Uncas
tt0011387,nm0355829,Alice Munro
tt0011439,nm0001196,Don Diego Vega
tt0011439,nm0001196,Señor Zorro
tt0011439,nm0209323,Lolita Pulido
tt0011439,nm0001935,Sgt. Pedro Gonzales
tt0011439,nm0537556,Don Carlos Pulido
tt0011565,nm0165134,Dr. Ferris
tt0011565,nm0668084,Barbary Nell
tt0011565,nm0556769,Frisco Pete
tt0011565,nm0151606,Blizzard
tt0011607,nm0630927,Gunvor
tt0011607,nm0137320,Dame Margarete
tt0011607,nm0753885,Sofren Ivarson
tt0011607,nm0022011,Mari - His Sweetheart
tt0011607,nm0042014,First Candidate
tt0011607,nm0375838,The Gardener
tt0011607,nm11381419,Neighboring Priest
tt0011652,nm0423424,Reverend Murray Hilton
tt0011652,nm0095371,Agnes Gates
tt0011652,nm0175067,Mr. Musgrave
tt0011652,nm0018393,Watson Flint
tt0011841,nm0001273,Anna Moore
tt0011841,nm0001932,David Bartlett
tt0011841,nm0484472,Anna Moore's Mother
tt0011841,nm0792514,Lennox Sanderson
tt0011865,nm0576762,Robert Gordon
tt0011865,nm0841797,Beth Gordon
tt0011865,nm0199841,Sally Clark
tt0011865,nm0467185,Radinoff
tt0011870,nm0823284,Jasper Landry
tt0011870,nm0695792,Sylvia Landry
tt0011870,nm0166224,Alma Prichard
tt0011870,nm0749281,Conrad Drebert - Sylvia's Fiancé
